id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating
140,PRESENCE RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,COOK,7737748000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
141,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,MILWAUKEE,4148053000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
142,MOUNTAINVIEW MEDICAL CENTER,16 W MAIN ST,WHITE SULPHUR SPRING,MT,59645,MEAGHER,4065473321,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
143,GRAHAM COUNTY HOSPITAL,304 WEST PROUT STREET,HILL CITY,KS,67642,GRAHAM,7854212121,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
144,ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,BRIDGEPORT,CT,6606,FAIRFIELD,2035765551,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
145,WELLSTAR PAULDING HOSPITAL,2518 JIMMY LEE SMITH PARKWAY,HIRAM,GA,30141,PAULDING,4706447000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
146,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,MONTGOMERY,9376413450,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available
147,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,MARICOPA,6027956020,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available
148,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
149,BELOIT MEMORIAL HOSPITAL,1969 W HART RD,BELOIT,WI,53511,ROCK,6083645011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
150,DODGE COUNTY HOSPITAL,901 GRIFFIN AVE,EASTMAN,GA,31023,DODGE,4784484067,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
151,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER,110 SOUTH NINTH AVE,YAKIMA,WA,98902,YAKIMA,5095755102,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
152,"CORTLAND REGIONAL MEDICAL CENTER, INC",134 HOMER AVENUE,CORTLAND,NY,13045,CORTLAND,6077563500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
153,MEMORIAL MEDICAL CENTER,2450 SOUTH TELSHOR BLVD,LAS CRUCES,NM,88011,DONA ANA,5755228641,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
154,PATIENTS' HOSPITAL OF REDDING,2900 EUREKA WAY,REDDING,CA,96001,SHASTA,5302258700,Acute Care Hospitals,Physician,FALSE,,Not Available
155,UHHS RICHMOND HEIGHTS HOSPITAL,27100 CHARDON ROAD,RICHMOND HEIGHTS,OH,44143,CUYAHOGA,4405856170,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
156,WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,NY,10595,WESTCHESTER,9142857017,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1
157,MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,10101 SOUTH 27TH ST  2ND FLOOR,FRANKLIN,WI,53132,MILWAUKEE,4148175800,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available
158,SANTA ROSA CLINIC,AVE. LOS VETERANOS #3 KM 135 7 EXIT TO ARROYO,GUAYAMA,PR,785,GUAYANILLA,7878640101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
159,SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,LUDINGTON,MI,49431,MASON,2318432591,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
160,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,NY,11215,KINGS,7187803000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1
161,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,CONTRA COSTA,9259393000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
162,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,320 THIRTEENTH ST,WA KEENEY,KS,67672,TREGO,7857432182,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
163,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST,HIGH POINT,NC,27261,GUILFORD,3368786000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
164,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,2062,NORFOLK,5087721000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
165,BANNER CHURCHILL COMMUNITY HOSPITAL,801 EAST WILLIAMS AVENUE,FALLON,NV,89406,CHURCHILL,7754233151,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
166,SKAGIT VALLEY HOSPITAL,1415 KINCAID STREET,MOUNT VERNON,WA,98274,SKAGIT,3604244111,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
167,EASTERN NIAGARA HOSPITAL,521 EAST AVENUE,LOCKPORT,NY,14094,NIAGARA,7165145700,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
168,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,JACKSON,MS,39202,HINDS,6019681000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
169,PLAZA MEDICAL CENTER OF FORT WORTH,900 EIGHTH AVENUE,FORT WORTH,TX,76104,TARRANT,8173362100,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
170,UNIVERSITY MEDICAL CENTER NEW ORLEANS,2000 CANAL STREET,NEW ORLEANS,LA,70112,ORLEANS,5049033000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
171,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 S PIONEER BLVD,HAWAIIAN GARDENS,CA,90716,LOS ANGELES,5628600401,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
172,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,2563542131,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
173,WELLSTAR ATLANTA MEDICAL CENTER,"303 PARKWAY DRIVE, NE",ATLANTA,GA,30312,FULTON,4042654000,Acute Care Hospitals,Proprietary,TRUE,TRUE,1
174,ST CHARLES MEDICAL CENTER - BEND,2500 NE NEFF ROAD,BEND,OR,97701,DESCHUTES,5413824321,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
175,CAMPBELLTON-GRACEVILLE HOSPITAL,5429 COLLEGE DR,GRACEVILLE,FL,32440,JACKSON,8502637201,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
176,SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS,100 MEDICAL PLAZA,LAKE SAINT LOUIS,MO,63367,SAINT CHARLES,6366255200,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
177,UPMC MCKEESPORT,1500 FIFTH AVENUE,MC KEESPORT,PA,15132,ALLEGHENY,4126642000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
178,KINGS DAUGHTERS MEDICAL CENTER OHIO,1901 ARGONNE ROAD,PORTSMOUTH,OH,45662,SCIOTO,7409914000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
179,THE SPINE HOSPITAL OF LOUISIANA,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,LA,70810,EAST BATON ROUGE,2257639900,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available
180,CONCORD HOSPITAL,250 PLEASANT ST,CONCORD,NH,3301,MERRIMACK,6032252711,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
181,DESOTO REGIONAL HEALTH SYSTEM,207 JEFFERSON STREET,MANSFIELD,LA,71052,DE SOTO,3188724610,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
182,COMMUNITY MEMORIAL HOSPITAL,512 SKYLINE BOULEVARD,CLOQUET,MN,55720,CARLTON,2188794641,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
183,IBERIA GENERAL HOSPITAL AND MEDICAL CENTER,2315 E MAIN STREET,NEW IBERIA,LA,70562,IBERIA,3373640441,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
184,"PAWHUSKA HOSPITAL, INC",1101 EAST 15TH STREET,PAWHUSKA,OK,74056,OSAGE,9182873232,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
185,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,1950,ESSEX,9784631000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
186,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,BURLINGTON,MA,1803,MIDDLESEX,7817445100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
187,MEMORIAL HOSPITAL SWEETWATER COUNTY,1200 COLLEGE DRIVE,ROCK SPRINGS,WY,82901,SWEETWATER,3073623711,Acute Care Hospitals,Government - Local,TRUE,TRUE,2
188,FORT DUNCAN MEDICAL CENTER,3333 N FOSTER MALDONADO BLVD,EAGLE PASS,TX,78852,MAVERICK,8307735321,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
189,ELLENVILLE REGIONAL HOSPITAL,10 HEALTHY WAY,ELLENVILLE,NY,12428,ULSTER,8456476400,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
190,UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,301 HOSPITAL DRIVE,GLEN BURNIE,MD,21061,ANNE ARUNDEL,4105951967,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
191,THEDACARE MEDICAL CENTER - WILD ROSE INC,601 GROVE AVE,WILD ROSE,WI,54984,WAUSHARA,9206223257,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
192,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,LANSING,MI,48912,INGHAM,5173641000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2
193,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DUPAGE,6306821600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
194,BELLIN MEMORIAL HOSPITAL,744 S WEBSTER AVE,GREEN BAY,WI,54305,BROWN,9204333500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
195,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,COOK,7738849000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1
196,PALO VERDE HOSPITAL,250 NORTH FIRST STREET,BLYTHE,CA,92225,RIVERSIDE,7609224115,Acute Care Hospitals,Government - Federal,TRUE,TRUE,2
197,FISHER-TITUS HOSPITAL,272 BENEDICT AVENUE,NORWALK,OH,44857,HURON,4196688101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
198,EAST TEXAS MEDICAL CENTER JACKSONVILLE,501 S RAGSDALE,JACKSONVILLE,TX,75766,CHEROKEE,9035415000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
199,CHI HEALTH SCHUYLER,104 WEST 17TH ST,SCHUYLER,NE,68661,COLFAX,4023522441,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
200,CHI ST ALEXIUS HEALTH DICKINSON,2500 FAIRWAY STREET,DICKINSON,ND,58601,STARK,7014564000,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
201,LAKES REGION GENERAL HOSPITAL,80 HIGHLAND ST,LACONIA,NH,3246,BELKNAP,6035243211,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,3
202,PROVIDENCE NEWBERG MEDICAL CENTER,1001 PROVIDENCE DRIVE,NEWBERG,OR,97132,YAMHILL,5035371555,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
203,DELL CHILDREN'S MEDICAL CENTER OF CENTRAL TEXAS,4900 MUELLER BLVD,AUSTIN,TX,78723,TRAVIS,5123240000,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available
204,WHITMAN HOSPITAL AND MEDICAL CENTER,1200 WEST FAIRVIEW,COLFAX,WA,99111,WHITMAN,5093973435,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
205,MISSION REGIONAL MEDICAL CENTER,900 SOUTH BRYAN ROAD,MISSION,TX,78572,HIDALGO,9563239000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
206,MACON COUNTY SAMARITAN MEMORIAL HOSPITAL,1205 NORTH MISSOURI ST,MACON,MO,63552,MACON,6603858700,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
207,CHI HEALTH MERCY COUNCIL BLUFFS,800 MERCY DRIVE,COUNCIL BLUFFS,IA,51503,POTTAWATTAMIE,7123285000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
208,PALMETTO GENERAL HOSPITAL,2001 W 68TH ST,HIALEAH,FL,33016,MIAMI-DADE,3058235000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
209,"WAKEMED, RALEIGH CAMPUS",3000 NEW BERN AVE,RALEIGH,NC,27610,WAKE,9193508000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
210,PERRY MEMORIAL HOSPITAL,530 PARK AVENUE EAST,PRINCETON,IL,61356,BUREAU,8158752811,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
211,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,2233 W DIVISION ST,CHICAGO,IL,60622,COOK,3127702000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
212,BURLESON ST JOSEPH HEALTH CENTER,1101 WOODSON DRIVE,CALDWELL,TX,77836,BURLESON,9795673245,Critical Access Hospitals,Voluntary non-profit - Church,FALSE,TRUE,Not Available
213,ST CLARE HOSPITAL,11315 BRIDGEPORT WAY S W,LAKEWOOD,WA,98499,PIERCE,2535881711,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
214,NORTH COUNTRY HOSPITAL AND HEALTH CENTER,189 PROUTY DRIVE,NEWPORT,VT,5855,ORLEANS,8023347331,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
215,PUTNAM COMMUNITY MEDICAL CENTER,611 ZEAGLER DR,PALATKA,FL,32177,PUTNAM,3863268500,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
216,SAINT THOMAS HICKMAN HOSPITAL,135 EAST SWAN STREET,CENTERVILLE,TN,37033,HICKMAN,9317294271,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available
217,PEACHEALTH ST JOHN MEDICAL CENTER,1615 DELAWARE STREET,LONGVIEW,WA,98632,COWLITZ,3604142000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
218,CLAY COUNTY MEMORIAL HOSPITAL,310 W SOUTH STREET,HENRIETTA,TX,76365,CLAY,9405385621,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
219,HARDIN MEMORIAL HOSPITAL,913 NORTH DIXIE AVENUE,ELIZABETHTOWN,KY,42701,HARDIN,2707371212,Acute Care Hospitals,Government - Local,TRUE,TRUE,4
220,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,600 RIVER AVE,LAKEWOOD,NJ,8701,OCEAN,7323631900,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
221,ALLIANCEHEALTH SEMINOLE,2401 WRANGLER BOULEVARD,SEMINOLE,OK,74868,SEMINOLE,4053034050,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
222,PALO PINTO GENERAL HOSPITAL,400 SOUTHWEST 25 AVE,MINERAL WELLS,TX,76067,PALO PINTO,9403257891,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
223,SAINT JOSEPH LONDON,1001 SAINT JOSEPH LANE,LONDON,KY,40741,LAUREL,6063306000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
224,FISHERMEN'S HOSPITAL,3301 OVERSEAS HWY,MARATHON,FL,33050,MONROE,3057435533,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
225,CENTRACARE HEALTH SYSTEM - SAUK CENTRE,425 NORTH ELM STREET,SAUK CENTRE,MN,56378,STEARNS,3203522221,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
226,ELECTRA MEMORIAL HOSPITAL,1207 S BAILEY STREET,ELECTRA,TX,76360,WICHITA,9404953981,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
227,SPECTRUM HEALTH KELSEY HOSPITAL,418 WASHINGTON,LAKEVIEW,MI,48850,MONTCALM,9893527211,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
228,DETAR HEALTHCARE SYSTEM,506 E SAN ANTONIO ST,VICTORIA,TX,77902,VICTORIA,3615757441,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
229,RIDDLE MEMORIAL HOSPITAL,1068 WEST BALTIMORE PIKE,MEDIA,PA,19063,DELAWARE,6105669400,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
230,RICE MEDICAL CENTER,600 SOUTH AUSTIN ROAD,EAGLE LAKE,TX,77434,COLORADO,9792345571,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available
231,CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES,825 CENTENNIAL DRIVE,CHADRON,NE,69337,DAWES,3084325586,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
232,WADLEY REGIONAL MEDICAL CENTER,1000 PINE STREET,TEXARKANA,TX,75501,BOWIE,9037988000,Acute Care Hospitals,Physician,TRUE,TRUE,2
233,DANVILLE REGIONAL MEDICAL CENTER,142 SOUTH MAIN STREET,DANVILLE,VA,24541,DANVILLE CITY,4347992100,Acute Care Hospitals,Proprietary,TRUE,TRUE,1
234,MCKENZIE COUNTY HEALTHCARE SYSTEMS,516 NORTH MAIN ST,WATFORD CITY,ND,58854,MCKENZIE,7018423000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
235,CANTON-POTSDAM HOSPITAL,50 LEROY STREET,POTSDAM,NY,13676,SAINT LAWRENCE,3152653300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
236,GUAM REGIONAL MEDICAL CITY,133 ROUTE 3,DEDEDO,GU,96929,,6716455500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,Not Available
237,NORTHSIDE MEDICAL CENTER,500 GYPSY LANE,YOUNGSTOWN,OH,44501,MAHONING,3308841003,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
238,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,5 GARRETT AVENUE,LA PLATA,MD,20646,CHARLES,3016094265,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
239,RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,NV,89521,CARSON CITY,7759827063,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
240,FORT WALTON BEACH MEDICAL CENTER,1000 MAR-WALT DR,FORT WALTON BEACH,FL,32547,OKALOOSA,8508621111,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
241,BAKERSFIELD HEART HOSPITAL,3001 SILLECT AVENUE,BAKERSFIELD,CA,93308,KERN,6613166000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
242,MT SAN RAFAEL HOSPITAL,410 BENEDICTA AVENUE,TRINIDAD,CO,81082,LAS ANIMAS,7198469213,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
243,GLENDORA COMMUNITY HOSPITAL,150 WEST ROUTE 66,GLENDORA,CA,91740,LOS ANGELES,6263350231,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
244,ADVOCATE EUREKA  HOSPITAL,101 S MAJOR ST,EUREKA,IL,61530,WOODFORD,3094672371,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
245,ST JOHN'S RIVERSIDE HOSPITAL,976 NORTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,9149644444,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
246,FAIRVIEW HOSPITAL,18101 LORAIN AVENUE,CLEVELAND,OH,44111,CUYAHOGA,2164767000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5
247,UNIONTOWN HOSPITAL,500 WEST BERKELEY STREET,UNIONTOWN,PA,15401,FAYETTE,7244305000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
248,BUNKIE GENERAL HOSPITAL,427 EVERGREEN STREET,BUNKIE,LA,71322,AVOYELLES,3183466681,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
249,MANATI MEDICAL CENTER DR OTERO LOPEZ,CALLE HERNANDEZ CARRION URB ATENAS,MANATI,PR,674,MANATI,7876213700,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
250,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,2515782480,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
251,RUSH FOUNDATION HOSPITAL,1314 19TH AVE,MERIDIAN,MS,39301,LAUDERDALE,6014830011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
252,HOLZER MEDICAL CENTER,100 JACKSON PIKE,GALLIPOLIS,OH,45631,GALLIA,7404465000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
253,ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER,5211 HIGHWAY 110,AURORA,MN,55705,SAINT LOUIS,2182294222,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
254,SHRINERS HOSPITALS FOR CHILDREN - CINCINNATI,3229 BURNETT AVENUE,CINCINNATI,OH,45229,HAMILTON,5138726000,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available
255,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,3743,SULLIVAN,6035427771,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
256,HILO MEDICAL CENTER,1190 WAIANUENUE AVENUE,HILO,HI,96720,HAWAII,8089323000,Acute Care Hospitals,Government - State,TRUE,TRUE,4
257,SAINT THOMAS RUTHERFORD HOSPITAL,1700 MEDICAL CENTER PARKWAY,MURFREESBORO,TN,37129,RUTHERFORD,6153964100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
258,OPTIM MEDICAL CENTER - JENKINS,931 EAST WINTHROPE AVENUE,MILLEN,GA,30442,JENKINS,4784784221,Critical Access Hospitals,Physician,TRUE,TRUE,Not Available
259,CARLISLE REGIONAL MEDICAL CENTER,361 ALEXANDER SPRING ROAD,CARLISLE,PA,17015,CUMBERLAND,7172491212,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
260,ST VINCENTS MEDICAL CENTER - CLAY COUNTY,1670 ST VINCENTS WAY,MIDDLEBURG,FL,32068,CLAY,9043087164,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
261,RANSOM MEMORIAL HOSPITAL,1301 S MAIN STREET,OTTAWA,KS,66067,FRANKLIN,7852298200,Acute Care Hospitals,Government - Local,TRUE,TRUE,4
262,CHILTON MEDICAL CENTER,97 WEST PARKWAY,POMPTON PLAINS,NJ,7444,MORRIS,9738315000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
263,MEMORIAL HOSPITAL,1423 SEVENTH ST,AURORA,NE,68818,HAMILTON,4026943171,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
264,HARDY WILSON MEMORIAL HOSPITAL CAH,233 MAGNOLIA STREET,HAZLEHURST,MS,39083,COPIAH,6018944541,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
265,MAYO CLINIC HEALTH SYSTEM - WASECA,501 NORTH STATE STREET,WASECA,MN,56093,WASECA,5077818256,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
266,AVERA TYLER HOSPITAL,240 WILLOW STREET,TYLER,MN,56178,LINCOLN,5072475521,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
267,UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,1025 CENTER ST,ASHLAND,OH,44805,ASHLAND,4192890491,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
268,MAIN LINE HOSPITAL PAOLI,255 WEST LANCASTER AVENUE,PAOLI,PA,19301,CHESTER,6106481000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5
269,CAROLINAS  CONTINUECARE HOSPITAL AT UNIVERSITY,8800 NORTH TRYON ST 4TH FLOOR,CHARLOTTE,NC,28217,MECKLENBURG,7040000000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,,Not Available
270,MARSHALL COUNTY HEALTHCARE CENTER - CAH,413 9TH STREET,BRITTON,SD,57430,MARSHALL,6054482253,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available
271,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,60623,COOK,7735211710,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
272,RICHARDSON MEDICAL CENTER,254 HIGHWAY 3048,RAYVILLE,LA,71269,RICHLAND,3187284181,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
273,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,WEST BLOOMFIELD,MI,48322,OAKLAND,2483251000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
274,SPECIALISTS HOSPITAL SHREVEPORT,1500 LINE AVENUE,SHREVEPORT,LA,71101,CADDO,3182133800,Acute Care Hospitals,Physician,FALSE,TRUE,Not Available
275,HEBER VALLEY HOSPITAL,1485 SOUTH HIGHWAY 40,HEBER CITY,UT,84032,WASATCH,4356542500,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
276,LAUDERDALE COMMUNITY HOSPITAL,326 ASBURY AVENUE,RIPLEY,TN,38063,LAUDERDALE,7312212200,Critical Access Hospitals,Proprietary,TRUE,TRUE,3
277,SHRINERS HOSPITALS FOR CHILDREN,3100 SAMFORD AVENUE,SHREVEPORT,LA,71103,CADDO,3182225704,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available
278,POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,KISSIMMEE,FL,34758,OSCEOLA,4075302000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
